table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-21 23:55:43,0.0337
profitandloss,1276,1177,99,2026-06-21 23:55:43,0.1829
balancesheet,1312,1227,85,2026-06-21 23:55:43,0.1764
cashflow,1187,1091,96,2026-06-21 23:55:43,0.1072
analysis,20,16,4,2026-06-21 23:55:43,0.0097
documents,1585,1457,128,2026-06-21 23:55:43,0.1004
prosandcons,16,14,2,2026-06-21 23:55:43,0.0147
sectors,92,92,0,2026-06-21 23:55:44,0.0176
market_cap,552,552,0,2026-06-21 23:55:44,0.0646
stock_prices,5520,5520,0,2026-06-21 23:55:44,0.4093
financial_ratios,1184,1160,24,2026-06-21 23:55:44,0.1512
peer_groups,56,56,0,2026-06-21 23:55:44,0.0127
